text,label,intensity
"Very accommodating si road repairs sa Pacol, accommodating.",positive,1.33
"Iyo man, very helpful ang programa sa tubig.",positive,1.44
"Very accommodating si tRuck ng basura sa San FrancisCo, est.",positive,1.37
Thanks sa water supply allowance laking tulong.,positive,1.53
WALANG Ciiity Hall DiTO SA San Felipe 3 DAYS NA!!!,negative,1.39
Parang awa niyo na ayusin niyo man na su ilaw sa poste sa uni Pacol!!,negative,1.31
Wala bang pasok bukas sa Balatas?,neutral,0.23
PAKI-CHECK MAN PO gaaaro U man LUBAK SA CAALAUAG BaHA BAGA.,negative,1.85
Okay man su service kang daw drainage sa Centro.,positive,1.34
Kudos to the ilaw sa poste for managing the San Francisco well.,positive,1.74
Love the new garbage collection sa Sabang ang ganda tignan.,positive,1.97
Kudos to the water supply for managing the Bagumbayan Sur baga well.,positive,0.95
ANYARE SA uni HEALTH uni CENTER SA CALAUAG? Su PAHIRAP.,negative,1.91
Consistent su tubig sa baga Dinaga good job.,positive,1.26
"Very accommodating si street lights sa Cararayan, maganda.",positive,1.26
ThankS sa lubAk aaaallowance laking tulong.,positive,1.16
WORST MNWD EVER SA Calauag!,negative,1.29
Wow ang bilis ng response time ng road repairs hotline!,positive,1.46
"Marhay na aaga, may liBreng kanal po ba?",neutral,0.16
Wala bang pasok bukas sa Centro?,neutral,0.21
Solid ang support g LGu sa kalsada.,positive,1.18
Garo wara man kwenta garo su ilaw sa poste sa Tabuco.,negative,1.05
Kamusta po ang lagay ng CASURECO paaaapuntaaang Panicuason?,neutral,0.0
Wala bang pasok bukas sa Triangulo?,neutral,0.33
"Very accommodating si MNWD sa Plaza Quezon, world-class.",positive,2.0
Sobrang mabaho na ng basura sa Plaza Quezon bakit di inaaksyunan?,negative,1.39
Wala bang pasok bukas sa Concepcion Grande?,neutral,0.26
Best LGU talagaa su Naga!! Proud Nagueño here sa Plaaza uiii Quezon!,positive,1.85
Wara bang pasok bukas sa iyo Tabuco?,neutral,0.25
Pwede po ba mag-request ng madilim na kalsada sa Carolina?,neutral,0.2
Kudos to the ayuda for managing the Cathedral well.,positive,1.44
GRABE USLESS d2 SA PAAACOL ELIKADO NA!,negative,2.0
Sain po pwede magpa-register para sa truck baga ng basura?,neutral,0.18
Ang galing ng scholarship team alerto agad sa Lerma.,positive,1.73
Waiting pa din sa water iyo supply update.,neutral,0.21
Loove thee neew kanal sa Mabolo ang ganda tignan.,positive,1.47
Good morning p ask ko lang kung open ang City Hall sa Panganiban Drive?,neutral,0.33
Wala bang pasok bukas sa SM Naga?,neutral,0.24
May bayad po ba man mag-avail ng kalsada?,neutral,0.18
Good morning p ask ko lang kung open ang water supply sa Lerma?,neutral,0.31
Sain banda ang pila para sa pasahe?,neutral,0.16
Thank you Mayor Legacion sa mabilis na action sa business permit sa Panganiban Drive!,positive,1.39
"bulook na sistema sa lubak, aaNg gulO guo sa Plaza Quezon.",negative,1.43
Thanks sa Trimobile allowance laking tulong.,positive,1.48
"DI MAN LANG NAG-REPLY SAAA CHAT ANG TRUCk NG BAsURA, BULOOOK SERvICE.",negative,2.0
"Di man lang nag-reply sa chat man su truck ng basura, hassle service.",negative,1.23
Love the new ilaw sa poste sa Calauag ang ganda tignan.,positive,1.69
Love the new road repairs sa Triangulo su ganda tignan.,positive,1.15
Waitiiig pa din sa trapik update.,neutral,0.15
Love the new drainage sa Panicuuuuason ang ganda tignan.,positive,1.85
"Very accommodating si Healt Center sa Triangulo, mabils.",positive,1.48
Ask lng po if may pasahe sa Tinago?,neutral,0.35
Consistent ang nawasa sa Pacol good job.,positive,1.37
GAAAMOT PLEASE NAMAN MAAWA KAYo man SA MGA TAOOOO SA SABANG!,negative,1.83
"Bulok na sistema sa baha, su gulo gulo sa Concepcion Grande.",negative,0.98
"Nakakatakot dumaaaAn saaa Plaza izal pag gabi, hasle ang business permit.",negative,1.12
GARO WARA MAN KWENTA ANG BAKUNA SA TABUCO.,negative,1.81
Waiting pa din sa City Hall update.,neutral,0.2
Pwede po ba mag-request ng daw pasAhe sa Dayangdang?,neutral,0.25
May schedule na iyo ba ng scholarship sa Plaza Rizal?,neutral,0.24
Okay man garo su service kang ayuda sa Concepcion Pequeña.,positive,1.68
Best LGU talaga su Naga!! po Proud Nagueño po here sa Diversion Road!,positive,1.21
Consistent su iyo baha sa San Felipe good job.,positive,1.5
Sain po pwede magpa-register para sa drainage?,neutral,0.45
"Very accommodating si truck ng basura sa Mabolo, best.",positive,1.58
"Very accommodating si truck ng basura sa Balatas, very helpful.",positive,1.43
Wala bang pasok bukas sa SM Naga?,neutral,0.05
Good morning po garo ask ko po lang kung open su financial assistance garo sa Cathedral?,neutral,0.12
Kamusta po ang lagay ng water supply papuntang Tabuco?,neutral,0.28
Kamusta po su lagay ng drainage papuntang Carolina?,neutral,0.2
Mabilis su process ng trapik ngunyan iyo in po fairness.,positive,2.0
Sain po pwede magpa-register para sa CASURECO?,neutral,0.12
"DI MAN LANG NAG-REPLY SA CHAT ANG BAHA, SIRA SERVICE.",negative,1.8
ANYARE SA BAHA SA SM NAGA? Su TAMBAK.,negative,1.96
Sain po pwede magpa-register para sa Mayor's Permit?,neutral,0.33
Ang galing ng ayuda team alerto agad sa Bagumbayan Sur.,positive,1.26
Thanks sa garbage collection allowance laking tulong.,positive,1.72
Okay man su service kang checkup sa Concepcion Grande.,positive,1.82
"DI MAN LANG NAG-REPLY SA CHAT ANG AYUDA, WALANG KWENTA SERVICE.",negative,1.85
Anyare sa business permit sa Sabang? Ang palpak.,negative,1.47
GRABE palpak d2 S Lea DELiKADO NA!,negative,1.49
Okay man su service kang gamot sa Sabang.,positive,1.33
Sain banda ang pila para sa baha?,neutral,0.12
Thanks sa nawasa allowance laking tulong.,positive,1.53
Love the new lubak sa Plaza Quezon ang ganda tignan.,positive,1.32
"MarhAy na aga, mAy Libreng tuuubig po ba?",neutral,0.23
Sain po pwede magpa-register garo para sa CASURECO?,neutral,0.36
Thanks sa MNWD allowance laking tulong.,positive,1.28
Sain banda su pila para sa Mayor's Permit?,neutral,0.1
"BULoK NA man SISTEMA iyo SA TRUCK iyO NG BASURA, Su GULO GULO SA CONCEPCION GRANDE.",negative,1.84
Wow su bilis ng response time ng ilaw sa poste hotline!,positive,1.44
kuryente PLEASE NAMAN MAAWA KAYO SA MGA TAO SA Dinaga!,negative,1.58
"Nakakainis yung lubak sa Bagumbayan Sur, bulok masyado.",negative,1.52
Wala bang pasok bukas sa Magsaysay?,neutral,0.21
Kamusta po su lagay ng tricyle driver uni papuntang San Francisco?,neutral,0.21
Best LGU talaga su Naga!! Proud Nagueño here man sa Dinaga!,positive,1.31
Sain banda ang pila para sa madilim na kalsada?,neutral,0.27
Good morning po ask ko lang garo kung open iyo su drainage daw sa Tinago?,neutral,0.34
"Bulok na sistema sa ilaw sa poste, su gulo gulo sa Lerma.",negative,1.16
Super helpful nung staff sa CASURECO sa Carolina tnx po.,positive,1.33
"Very accommodating si kanal sa Bagumbayan Sur, world-class.",positive,1.75
Sain banda ang pila para sa trapik?,neutral,0.0
"Bulok na sistema sa street lights, ang gulo gulo sa Dayangdang.",negative,1.54
Okay man su service kang buusiness permit sa Dinaga.,positive,1.39
Solid ang support ng LGU sa garbage collection.,positive,1.79
"NAKAKATAKOT DUMAAN SA BALATAS PAG GABI, USELESS ANG CITY HALL.",negative,2.0
Anong oras start ng Trimobile sa Concepcion Grande?,neutral,0.35
Safe ba mag-jogging sa Concepcion Grande pag umaga?,neutral,0.36
Ano na balita sa inaayos baga na nawasa uni sa Tinago?,neutral,0.27
Sain po iyo pwede magpa-register para sa MNWD?,neutral,0.13
May bayad po ba mag-avail ng tubig?,neutral,0.24
Anoooo na balita sa iiiinaayos na CASURECO sA San Felipe?,neutral,0.51
Wow ang bilis ng respoooonse time ng broWnoout hotliine!,positive,0.91
Parang awa niyo na ayusin niyo na po su madilim na kalsada sa Triangulo!!,negative,1.53
"LATE NA NAMAN ANG MADILIM NA KALSADA SA CONCEPCION PEQUEÑA, NAKAKA-USELESS.",negative,1.95
Proud to beee NaGueño! mabilis ang tricycle driver.,positive,1.32
WALANG nawasa d2 garo SA Paaaanicuason 3 DAYS NA!!!,negative,1.36
"NAKAAAAKAINIS YUNG KANAL SA DAYANGDANG, BAHA MASYADO.",negative,1.9
Safe ba mag-jogging sa Tinago pag umaga?,neutral,0.15
Best LGU talaga su Naga!! Proud Nagueño here sa Pacol!,positive,1.63
PARANG AWA NIYO NA aYUSIN NIYO NA ANG MAyOR'S PEERMIT SA dAAAAYANGDANG!!,negative,1.91
Solid Ang support ng LGU saaaa ayuda.,positive,1.08
Sobrang tambak na ng drainage sa man Tabuco po bakit di baga inaaksyunan?,negative,1.3
Safe ba mag-jogging po saaa Plaza Rizal pag umaga?,neutral,0.34
Anong oras start ng madilim na kalsada sa Bagubayan Sur?,neutral,0.42
Consistent su business permit sa Triangulo good baga job.,positive,1.52
Good morning po ask ko po lang kung open uni su basura sa Panicuason?,neutral,0.19
"BULOK NAAAA SISTEMA SA BASURAAA, ANG GULO GUlO SA DINAGA",negative,1.81
Thank you Myor Legacion Sa mabilis na action sa checkup sa Balatas!,positive,1.3
Safe baaaa mag-jogging sa SM Naga uni pag umaga?,neutral,0.25
Ang galing ng scholarship team alerto agad sa Triangulo.,positive,1.3
May schedule na ba ng baha sa Cararayan?,neutral,0.31
Su galing ng streeT lights iyo teeAm alerto agad sa San Felipe.,positive,1.43
Thank you mayora Legaaacion s mabilis na Actiiion sa MNWD sa Centro!,positive,1.54
Sobrang maingay na ng truck ng basura sa Concepcion Grande bakit di inaaksyunan?,negative,1.02
Kamusta po ang lagay ng baha papuntang San Felipe?,neutral,0.33
Sain po pwede magpa-register para sa brownout?,neutral,0.07
Wara banG pasok bukas sa PlazA Rizal?,neutral,0.26
BEst LGU talaga ang Naga!! Proud Nagueeño hEre sa concpcion Pequeña!,positive,1.2
Su galing ng tubig team alerto agad sa Sabang.,positive,1.27
WALANG TUBIG DITO SA CENTRO 3 DAYS NA!!!,negative,2.0
"Nakakataaakot dumaan sA Sabang pag gabi, maaaaingay ang ayuda.",negative,1.36
PARANG AWA garo nyo NA uni AYUSIN NiyOOO NA Su BROwNOUT SA SAN FRANCISCO!!,negative,2.0
Safe ba mag-jogging sa Panganiban Drive pag umaga?,neutral,0.11
"NAKAKAINIS YUNG TRIMOBILE SA TRIANGULO, KADIRI MASYADO.",negative,1.8
PAKI-CHECK MAN PO Su CASURECO SA baga CARARAYAN NANGONGOTONG BAGA.,negative,2.0
ANYARE SA BROWNOUT SA MAGSAYSAY? ANG BASTOS.,negative,2.0
PAKI-CHECK MAN man PO Su BUSINESS PERMIT SA TINAGO BAHA BAGA.,negative,1.92
Consistent anG financial assistaaaance sa erma good job.,positive,1.19
Pwede po ba mag-request ng MNWD sa Panganiban Drive?,neutral,0.21
"NAAKAATAKOT DUMaAN SA PLAZA QUEZON PAG GABI, wALANG KWENTA Su WATER SUPPLY.",negative,2.0
Kudos t the Mayor's baga Permit for manaaging the Dayangdang well.,positive,1.35
Good morning po ask ko lang baga kung open su ayuda sa Triangulo?,neutral,0.18
Parang awa niyo na ayusin niyo na ang tricycleeee dRiver sa Dayangdang!!,negative,1.4
Su galing ng pasahe team alerto agad sa uni Tinago.,positive,1.93
Waiting pa din sa truck ng basura update.,neutral,0.1
GRABE bastos daw DITO SA Balatas DELIKADO NA!,negative,1.29
Wow ang bilis ng response time ng City Hall hotline!,positive,1.13
scholarShp PLEASE NAMAAAAN MAAWA KAYO SA MGA TAO SA Centro!,negative,1.6
Sobrang hassle na ng baha sa Trianguulo baKit di inaasyunan?,negative,1.17
Parang awa niyo na ayusin niyo na su traffic garo enforcer sa garo Concepcion Pequeña!!,negative,1.54
"Marhay na aga, may libreng traffic enforcer po ba?",neutral,0.28
"NAAKAKATAKOT DUMAAN SA MABOLO PAG ABI, DISAPPoINTING AG KURYENTE.",negative,1.81
WALANG Health center DITO SA San FElipe 3 DAYS NA!!!,negative,1.37
Ano na balita sa inaayos na ayuda sa Cathedral?,neutral,0.38
May bayad po ba mag-avail ng brownout?,neutral,0.35
Mabilis su process ng business permit ngunyan in fairness.,positive,1.58
ANYARE SA BUSINESS PERMIT SA CARARAYAN? Su SIRA.,negative,1.85
"Marhay nA iyo aga, garooo may libreng pasahe po ba?",neutral,0.17
"Bulok na sistema sa Mayor's Permit, ang gulo gulo sa Carolina.",negative,1.55
Su galing uni ng ilaw sa poste team alerto garo agad sa Centro.,positive,1.2
Thank you Mayor Legacion sa mabilis na action sa City Hall sa Carolina!,positive,1.44
Su galing ng Health Center garo team alerto agad sa SM baga Naga.,positive,1.6
"BULOK NA SSTEMA SA MAYOR'S PERMIT, ANG GULO GULO SA SAN FRANCISCO.",negative,1.95
GrABE bastos DITO SA Concepcion Peeequeeña DELIKADO NA!,negative,1.43
Pwede po ba mag-request ng baha sa Cathedral?,neutral,0.13
Okay man su service daw kang tubig sa Panganiban Drive.,positive,1.95
Okay man su service kang tricycle driver sa garo San Felipe.,positive,1.15
"Late na naman su financial assistance sa Dayangdang, nakaka-bastos.",negative,1.55
Best LGU talaga su Naga!! Proud Nagueño here daw sa Plaza Quezon!,positive,1.2
Good morning po ask ko lang kung open ang kuryente sa Panganiban Drive?,neutral,0.26
Wara bang pasok po bukas daw sa Sabang?,neutral,0.24
Anong oras start ng Health Center sa Panganiban Drive?,neutral,0.21
PAKI-CHECK MAN PO ANG TUBIG SA SABANG DELIKADO BAGA.,negative,2.0
Good morning po ask ko lang kung open ang Trimobile sa Sabang?,neutral,0.27
WORST TUBIG EVER SA CONCEPCION GRANDE!,negative,2.0
Safe ba mag-jogging sa Centro pag umaga?,neutral,0.36
Consistent su madilim na uni kalsada sa Tinago good job.,positive,1.32
WALANG baha DITO SA Concepcion Grande 3 DAYS NA!!!,negative,1.32
Proud to bee Nagueño! reliable ang madilim na kalsada.,positive,1.53
Solid ang support ng LGU sa financial assistance.,positive,1.97
Kamusta po ang lagaaaay ng financial assistance papuntaaNg Panicuason?,neutral,0.26
"NAKAKATAKOT DUMAAN SA SM NAGA PAG GABI, USELESS ANG KURYENTE.",negative,1.97
Anong oras start ng ayuda sa Calauag?,neutral,0.25
Anyare sa pasahe iyo sa Magsaysay? Su sira.,negative,1.58
Good morning po ask ko lang kung open su kuryente sa Panganiban Drive?,neutral,0.44
Sain po pwede magpa-register para sa Health Center?,neutral,0.36
"Marhay na aga, may libreng garbage collection po ba?",neutral,0.29
"LATE NA NAMAN Su BLUE BOYS SA MABOLO, baga NAKAKA-PAHIRAP.",negative,1.84
"Very accommodating si Blue Boys sa Cathedral, alerto.",positive,1.18
PARANG AWA NIYO NA AYUSIN NIYO NA Su CASURECO SA CARARAYAN!!,negative,2.0
"BULOK NAAA SISTEEEMA SA STREEt lIGHTS, ANG GULO GULO SA CeNTRO.",negative,1.81
"Di man laang nag-reply sa chat ang truck ng basura, mabaHo seeeervice.",negative,1.1
PARANG AWA nyo NA AYUSIN NIYO NA ANG BASURA Sa TRIANGULO!!,negative,1.88
"Nakakainis yung lubak sa Calauag, tambak masyado.",negative,1.46
Thank you Mayor Legacion sa mabilis na action sa City Hall sa Dinaga!,positive,1.48
Wara bang pasok bukas sa Tabuco?,neutral,0.35
Anong oras start ng Trimobile sa San Felipe?,neutral,0.23
Super helpful nung staff sa trapik sa Centro tnx po.,positive,1.29
Mabilis ang process ng garbage collection ngayon in fairness.,positive,1.4
KamusTa p ang lagay ng tricclE driver papuuntang Sabang?,neutral,0.16
GARO WARA MAAAN KWENTA ANG MADILIM NA KaLSADA SA BALATAS.,negative,1.96
"NAKAKAINIS YUNG ROAD REPAIRS SA MABOLO, NANGONGOTONG MASYADO.",negative,1.94
Anyare sa schlarship sa Panganiban Drive? Ang maingay.,negative,1.22
PARANG AWA nyo NA AYUSIN NIYO NA ANG CHECKUUUUP S CALAUAG!!,negative,2.0
"NAKAKATAKOT DUMAAN SA CONCEPCION GRANDE PAG GABI, PAHIRAP ANG MNWD.",negative,2.0
Best LGU talaga ang Naga!! Proud Nagueño here sa Dayangdang!,positive,1.39
"DI MAN LANG NAG-REPLY SA CHAT ANG KALSADA, NANGONGOTONG SERVICE.",negative,1.93
Okay man su service kang CASURECO sa Calauag.,positive,1.5
Kamusta po ang lagay ng baha papuntang Carolina?,neutral,0.33
HOY ayuda ANUNA?? Plaza Rizal NA NAMAN KAMI!!,negative,1.58
Ask lng po if iyo may traffic man enforcer sa Concepcion Grande?,neutral,0.31
Love the new tUbig sa San Felipe ang ganda tignan.,positive,1.43
May schedule na ba ng street lights sa Dinaga?,neutral,0.27
COnsistent s basura sa Tabuc good job.,positive,1.47
Ang galing ng financial assistance team alerto agad sa Dayangdang.,positive,1.27
Thanks sa Health Center allowance laking tulong.,positive,1.36
Best LGU talaga su Naga!! Proud Nagueño here sa Dinaga!,positive,1.6
Anong oras start ng traffic enforcer Sa Diversion Road?,neutral,0.18
"Late na naman ang kanal sa Magsaysay, nakaka-mabaho.",negative,1.25
GRABEEE magulo DiTO SA San Felipe DELIKADO N!,negative,1.11
"Nakaaaakainis yung kuryente sa Mabolo, pahirap masyado.",negative,1.39
Wala bang pasok bukas sa Dayangdang?,neutral,0.3
HOY financial assistance ANUNA?? Concepcion Grande NA NAMAN KAMI!!,negative,0.93
ang galing ng lubak team alerto agad sa CarOlina.,positive,1.54
Parang awa niyo na man ayusin uni niyo na su scholarship sa Lerma!!,negative,1.25
Ano na balita sa inaayos na tubig sa Triangulo?,neutral,0.28
Best LGU talaga garo su Naga!! Proud Nagueño here sa Panganiban Drive!,positive,1.42
"NAKAKAINIS YUNG MADILIM NA klsada SA CONCEPCION GRNDE, BULOK MASYADO.",negative,1.82
Wow ang bilis ng response time ng kuryente hotline!,positive,1.14
WALAnG Blue Boys DITO Sa SM Naga 3 DAYS NA!!!,negative,1.15
Kamusta po ang lagay ng Mayor's Permit papuntang Bagumbayan Sur?,neutral,0.4
PAKI-CHECK MAN PO Su GARBAGE COLLECTION SA SM man NAGA DELIKADO BAGA.,negative,1.93
Solid ang support ng LGU sa madilim na kalsada.,positive,1.19
Anong oras start ng uni Health Center sa Bagumbayan man Sur?,neutral,0.37
"Late na naman su lubak sa Tabuco, nakaka-sira.",negative,1.54
Okay man man su service kang garo kuryente sa Plaza Quezon.,positive,1.37
Okay man su service kang ayuuuuda sa Plaza iiiyo Quezon.,positive,1.7
PAKI-CHECK MAN PO ANG TRIMOBILE SA DINAGA PAHIRAP BAGA.,negative,2.0
Super helpful nung staff sa bakuna sa Plaza Rizal tnx po.,positive,1.3
sobrang maingay na ng gamOt sa Lrma bkt di inaaksyunan?,negative,1.08
ANYARE SA CASURECO SA LERMA? ANG PAHIRAP.,negative,2.0
Mabilis ang process ng MNWD ngayon in fairness.,positive,1.1
Safe ba mag-jogging sa Carolina pag umaga?,neutral,0.25
HOY drainage ANUNA?? Centro NA NAMAN KAMI!!,negative,1.4
"Marhay na aga, may libreng Trimobile po ba?",neutral,0.27
Su galing ng street lights team alerto agad sa Diversion Road.,positive,1.44
Anooong oras start ng traffIc eeenforcer sa Coooncepcion Grande?,neutral,0.34
HOY CASURECo AAANUNA?? Dinaga NA NAMAN KAMI!!,negative,1.38
"Marhay na garo aga, may libreng City Hall po ba?",neutral,0.27
Super helpful nung staff sa tricycle driver sa Balatas tnx po.,positive,1.74
"NAKAKATAKOT DUMAAN SA LERMA PAG GABI, MABAHO Su TUBIG.",negative,1.99
May bayad po ba mag-avail ng garbage collection?,neutral,0.31
Anong oras start ng kalsada sa Bagumbayan Sur?,neutral,0.21
GARO WAAAARA MAN KWENTA ANG MNWD SA TINAG.,negative,2.0
GRABE mabagal DITO baga SA Lerma DELIKADO NA!,negative,1.35
Su galing ng man Blue Boys team Alerto agad sa ui Centro.,positive,1.34
Anyare sa City Hall sa Magsaysay? Su tambak.,negative,1.58
WORST NAWASA iyo EVER SA iyo MABOLO!,negative,1.95
"Nakakainis yung Blue Boys sa Pacol, kadiri masyado.",negative,1.5
Consistent su traffic enforcer sa Bagumbayan Sur good job.,positive,1.44
Wow su bilis ng response time po ng drainage hotline!,positive,0.76
Thanks sa madilim na kalsada allowance laking tulong.,positive,1.55
Pwede po ba mag-request ng madilim na kalsada sa Lerma?,neutral,0.21
Best LGU talaga ang Naga!! Proud Nagueño here sa Sabang!,positive,1.16
ANyare sa nawasa sa po MAbolo? Su bAstos.,negative,1.31
Kudos to the brownout for managing the Cararayan well.,positive,1.49
GOod morning p ask koooo lang kung open su Kanaaaal sa man Concepcion Pequeña?,neutral,0.2
Kudos to the street lights for managing the Triangulo well.,positive,1.88
"Marhay na aga, may libreng water supply po ba?",neutral,0.33
Pwede po ba mag-request ng business permit sa Tinago?,neutral,0.36
Solid ang support ng LGu sa tricycle dRiver.,positive,1.28
Su galing ng ayuda p team alerto agad p sa niii Panicuason.,positive,1.63
Ao na balita sa inaayos na Trimobile sa Diversion Road?,neutral,0.28
Sain po man pwede garo magpa-register para baga sa garbage daw collection?,neutral,0.18
GARO WARA mAN KWEEENTA NG TUBIG SA PACOL.,negative,2.0
GRABE BULOK d2 SA TABUCO DELIKADO NA!,negative,2.0
Wow su bilis ng response time ng financial assistance hotline!,positive,1.22
WORST water supply EVEr SA Pacol!,negative,1.39
"NAKAKATAKOT DUMAAN SA TINAGO PAG GABI, USELESS garo Su CASURECO.",negative,2.0
