text,label,intensity
"Hassle naman sa Peñafrancia, ang walang kwenta ng tubig.",negative,2.0
Okay man su service kang brownout sa San Felipe.,positive,1.1
Good uni job LGU! organized ang street lights sa Carolina ngayon.,positive,1.01
"Napaka-maganda ng staff ng Madilim na klsada sa SAbaang, kudos!",positive,1.32
"Wow, in fairness, ang solid na ng financial assistance sa Peñafrancia!",positive,1.5
HOY Health Center ANUNA?? San Felipe NA NAMAN KAMI!!,negative,2.0
"Sobrang mabagal ng gamot sa Mabolo, nakaka-stress!",negative,1.0
"Wow, in fairness, ang organized na ng financial assistance sa Balatas!",positive,0.97
Okay man su service kang brownout sa Lerma.,positive,1.1
"Please lang, paki-ayos ang ilaw sa poste sa Mabolo, sobrang delikado eh.",negative,2.0
Okay man su service kang drainage sa Lerma.,positive,1.1
"Tanong lAng, su kamusta ang road repairs sa Sabang?",neutral,0.8
"Napaka-efficient ng staff ng Mayor's Permit sa Dayangdang, kudos!",positive,1.39
Su iyo galing ng lubak team alertO agaaad sa Carolina.,positive,0.95
"Bulok na garo sistema sa tricycle, ang gulo sa Lerma.",negative,1.55
"SoobraNg mabaho ng truCk ng basura sa Centro, naaakaka-streess!",negative,1.25
Good baga job LGUUU! Malinis aaang Mayor's Permit sa Centro ngayon.,positive,1.2
Ask ko lang if tuloy ang drainage sa Dayangdang?,neutral,0.12
Good job LGU! maayos ang Mayor's Permit sa San Francisco ngayon.,positive,1.27
Okay man su service kang tricycle sa Dinaga.,positive,1.1
Okay sU man su service kang kuryente sa Calauag.,positive,1.1
"Hassle naman sa Mabolo, ang palpak ng drainage.",negative,1.35
"Anuuubayan, hassleee na naman ang scholarship sa Calauag.",negative,1.28
"Sobrang disappointing ng trapik sa San Felipe, nakaka-stress!",negative,1.27
Garo wara daw man kwenta ang MNWD sa San Francisco.,negative,1.53
Sain po pwede maagpa-register para sa renewal?,neutral,0.2
"Hassle naman sa Dayangdang, ang walang kwenta ng garbage collection.",negative,1.82
Waiting for updates regarding checkup in Centro.,neutral,0.15
Sain po pwede magpa-register para sa ilaw sa poste?,neutral,0.24
"Please lang, suuu paki-ayos ang drainageee sa Dinaga, soobrang buulok eh.",negative,1.82
Good job LGU! excellent ang Blue Boys sa Calauag ngayon.,positive,1.99
"Sobraaang walang baga kwenta Ng kuryente sa Dinaga, naakaka-stress!",negative,2.0
Su iyo galing ng basura team alerto agad sa Calauag.,positive,1.6
Okay baga man su service Kang CASURECO sa Dinaga.,positive,1.1
"Paki-check baga naman ang tuBig sa Dinaga, walang kwenta na masyado.",negative,1.76
Sain po pwede magpa-register para sa brownout?,neutral,0.26
"Please lang, paki-ayos ang ilaw sa poste sa San Francisco, sobrang bulok eh.",negative,1.42
"Paki-check naman ang broownout sa Dinaga, mabaho na masyado.",negative,1.5
"Marhay na marhay ang water supply sa Bagumbayan Sur, alerto baga.",positive,1.7
Su galing ng tricycle team alerto agad sa Concepcion Grande.,positive,1.23
HOY financial iyo assistance ANUNA?? Peñafrancia NA NAMAN KAMI!!,negative,1.97
"Grabe, why garo is the scholarship sa Concepcion Pequeñaa supEr sira?",negative,1.6
"Napaka-maganda ng staff ng Trimobile sa San feeeliipe, kuDos!",positive,1.16
"Sobrang tambak ng water supply sa Dayangdang, nakaka-stress!",negative,1.38
"Marhay na marhay ang City Hall sa Pacol, organized baga.",positive,1.11
Okay man iyo su service kang gamot sa Centro.,positive,1.1
"Napaka-solid ng staff ng bakuna sa Dinaga, kudos!",positive,1.6
HOY nawasa ANUNA?? Mabolo NA NAMAN KAMI!!,negative,1.96
Good job LGU! maganda ang nawasa sa Tinago ngayon.,positive,1.25
"Napaka-excellent ng staff ng madilim na kalsada sa Balatas, kudos!",positive,1.91
Good baga job LGU! malinis ang brownout sa Sabang ngayon.,positive,1.06
Garo wara man kwenta ang MNWd sa Concepcion Peequeña.,negative,1.38
Okay man su service kang traffic enforcers sa San Francisco.,positive,1.1
Su galing ng Health Center team alerto agad sa Pacol.,positive,1.51
May daw update na ba sa garbage collection sa Concepcion Grande?,neutral,0.17
Ask ko lang if tuloy ang water supply sa Sabang?,neutral,0.23
"Hassle su naman sa Concepcion Pequeña, ang walang kwenta ng baha.",negative,1.83
Su daw galing ng kuryente team alerto agad sa Mabolo.,positive,1.14
"Hassle naman sa San Felipe, ang sira ng baha.",negative,1.56
HOY su drainage ANUNA?? TAbuCo NA NAMAN KAMI!!,negative,1.81
"Salamat Mayor, malinis na ang water supply sa Tinago.",positive,1.23
"Marhay na man marhay ang renewal sa Tabuco, alerto baga.",positive,1.49
Good job LGU! efficient ang kanal sa Concepcion Grande ngayon.,positive,1.48
"Napaka-maayos iyo ng staff ng kalsada sa Concepcion Pequeña, kudos!",positive,1.2
Good job LGU! organized ang kanal sa Panicuason ngayon.,positive,1.36
"Grabe, why is the checkup sa Carolina super baha?",negative,1.89
"Hassle naman sa Triangulo, aaanG delikado ng cheeeckup.",negative,1.91
May uni update na ba sa Trimobiiile sa San feelipe?,neutral,0.32
"pls baga lang, paki-ayOs ang Trimobile sa Tabuco, sobrang maaagulo eh.",negative,1.06
"Grabe, why is the madilim na kalsada sa Triangulo super hassle?",negative,1.0
"Napaka-efficienT ng staff ng road repairs sa MAbolo, kudos!",positive,1.37
HOY drainage ANUNA?? Pacol NA NAMAN KAMI!!,negative,1.88
Su garo galing ng basura team alerto agad sa Dinaga.,positive,1.04
Good job LGU! very helpful ang gAmot sa Bagumbayan Sur ngayon.,positive,1.37
"Anubayan, disappointing na naman ang kanal sa San Francisco.",negative,1.02
HOY basura uni ANUNA?? Tinago NA NAMAN KAMI!!,negative,1.98
Solid ang support ng LGU sa Blue Boys.,positive,1.45
"Sobrang uni sira ng tubig sa Balatas, nakaka-stress!",negative,1.49
"AnubaYan, man maingay na naman ang trapik sa San Francisco.",negative,0.96
May update na ba sa basura sa Panicuason?,neutral,0.33
Solid ang support ng LGU sa traffic enforcers.,positive,1.53
Okay man daw su service kang Mayor's Permit sa Tabuco.,positive,1.1
Good job LGU! maganda ang checkup sa Sabang ngayon.,positive,0.99
Good job LGU! organized ang CASURECO sa San Felipe ngayon.,positive,0.98
May update na ba sa Mayor's Permit saaa Tabuco?,neutral,0.28
"Sobrang magulo ng kanal sa Dinaga, nakaka-stress!",negative,0.97
Su galing ng drainage team alerto agad sa San Felipe.,positive,0.79
"PLease laNg, daw paki-ayos anG renewal sa Cooncepcion Grande, sobrang baha eh.",negative,1.6
Su galing ng water supply team alerto agad sa Lerma.,positive,1.43
"Paki-check naman ang kanal sa Tabuco, baha na masyado.",negative,1.5
"Marhay na man marhay ang renewal sa Centro, friendly baga.",positive,1.33
"Marhay na marhay ang checkup sa Sabang, very helpful baga.",positive,1.63
"Hassle naman sa Mabolo, ang tambak ng garbage collection.",negative,1.48
"Please lang, paki-ayos ang garbage collection sa Panicuason, sobrang sira eh.",negative,1.66
"Please lang, paki-ayos ang bakuna sa Centro, sobrang mabagal eh.",negative,1.34
Good job LGU! aleRto ang kanal sa TabUco ngayon.,positive,1.17
Sain po pwede magpa-register para sa street lights?,neutral,0.22
Suuu man galing ng City Hall tEam alerto agad sa Concepciooon Grande.,positive,1.09
"Salamat uni Mayor, very helpful na ang basura sa Concepcion Pequeña.",positive,1.45
"Grabe, why is the ilaw sa poste sa Bagumbayan Sur super bulok?",negative,1.49
Su galing ng road repaaairs team alerto agad sa SaBang.,positive,0.93
"Salamat uni Mayor, alerto na ang CASURECO sa Tinago.",positive,1.84
"Grabe, iyo why is the baha sa Pacol super delikado?",negative,1.7
"Wow, su in fairness, ang friendly na ng Health Center sa Bagumbayan Sur!",positive,1.24
Su galing ng Health Center teaM alerto agaad sa Bagumbayan SuR.,positive,1.71
Okay uni man su servicE Kang water supply sa Lerma.,positive,1.1
Solid ang support ng LGU sa lubak.,positive,1.64
Su galing ng brownout team alerto agad sa Lerma.,positive,1.26
Garo wara man kwenta ang renewal sa Carolina.,negative,1.48
Solid iyo ang support ng LGU sa tricycle.,positive,1.66
Salamat mayora maganda na ang kuryeente sa Tinago.,positive,1.28
"Tanong baga lang, kamusta ang tubig sa Sabang?",neutral,0.8
Sain po pwede magpa-register para sa kuryente?,neutral,0.26
Garo waraa man kwenta ang water supply sa Calauag.,negative,1.4
"Bulok na sistema sa traffic enforcers, ang gulo sa Centro.",negative,1.44
"Hassle naman sa San Felipe, ang mabaho ng kuryente.",negative,1.33
SoliD bagaa ang support ng LGU sa tricyCle.,positive,1.54
Okay man su service kang CASURECO sa Concepcion Pequeña.,positive,1.1
"Please lang, paki-ayos ang water supply sa Tinago, sobrang mabaho eh.",negative,1.31
"Salamat Mayor, alerto na ang CASURECO sa Panicuason.",positive,1.59
HOY Health man Center ANUNA?? Tabuco NA NAMAN KAMI!!,negative,1.95
HOY truck ng basura ANUNA?? San Felipe NA NAMAN KAMI!!,negative,1.97
Su galing ng gamot team alerto agad sa Sabang.,positive,1.63
Ask ko man lang if tuloy ang brownoUt sa CalauAg?,neutral,0.39
"Anubayan, walang kwenta na naman ang truck ng basura sa Calauag.",negative,2.0
Waiting for updates regarding renewal in Concepcion Grande.,neutral,0.26
"Salamat Mayor, mabilis na ang kuryente sa Mabolo.",positive,1.1
"Hassle naman sa Tinago, ang walang kwenta ng tricycle.",negative,2.0
Solid ang support ng LGU sa tubig.,positive,1.44
Solid ang support ng LGU sa scholarship.,positive,1.55
"Anubayan, baha na naman ang madilim na kalsada sa Concepcion Pequeña.",negative,1.66
"Marhay na marhay ang kanal sa Mabolo, solid baga.",positive,1.37
Good job LGU! alerto ang tricycle sa Panicuason ngayon.,positive,1.62
Su galing ng brownout team alerto agad sa Balatas.,positive,1.42
"Wow, in fairness, ang alerto na ng drainage sa Panicuason!",positive,1.44
"Wow, in fairness, ang maganda na ng drainage sa balaatas!",positive,1.16
"Marhay na marhay ang traaffic enforcers sa Tinago, maayos baga.",positive,1.38
"Tanong lang, iyo kAmuusta Ang lubak sa Balatas?",neutral,0.8
"Marhay na marhay ang ilaw sa poste sa Concepcion Pequeña, mabilis baga.",positive,1.2
"wow, iin fairness, ang efficient na ng draiinage sa Dayangdang!",positive,1.36
"Napaka-friendly garo ng staff ng road repairs sa Centro, kudos!",positive,1.17
"Grabe, why is the water supply sa Dayangdang super delikado?",negative,1.75
Okay daw man su service kang nawasa sa Bagumbayan Sur.,positive,1.1
Garo uni wara man kwenta ang madilim na kalsada sa Dinaga.,negative,1.32
"Marhay daw na marhay ang traffic enforcers sa Dayangdang, malinis baga.",positive,1.23
"Wow, in fairness, ang efficient na ng lubak sa Peñafrancia!",positive,1.19
Su galing ng traffic enforcers team alerto agad sa San Felipe.,positive,1.52
"HaSsle naman sa Sabang, ang hassle ng scholarshiP.",negative,1.32
Garo wara Man kwenta ang Health Center sa Balatas.,negative,1.59
"Bulok na sistema sa street lights, ang gulo sa Calauag.",negative,1.77
"Bulok uni na sistema sa truck ng basura, ang gulo sa Sabang.",negative,1.45
Su galing ng lubak team alerto agad sa Carolina.,positive,1.17
"Hassle uni naman sa Tabuco, ang mabagal ng renewal.",negative,0.88
Garo daw wara man kwenta ang scholarship sa Sabang.,negative,1.35
"Napaka-friendly ng staff ng water supply sa Lerma, kudos!",positive,0.96
"Tanong lang, baga kamusta ang madilim na kalsada sa Concepcion Grande?",neutral,0.8
Garo wara man kwenta ang garbage collection sa Dinaga.,negative,2.0
Waiting for updates regarding bakuna in Tinago.,neutral,0.25
"Please lang, paki-ayos ang trapik sa Panicuason, sobrang magulo eh.",negative,1.16
Su man galing ng traffic enforcers team alerto agad sa Bagumbayan Sur.,positive,1.66
May update na ba sa tricycle sa Balatas?,neutral,0.18
HOY baha uni ANUNA?? Balatas NA NAMAN KAMI!!,negative,1.85
HOY baga drainage ANUNA?? Calauag NA NAMAN KAMI!!,negative,1.88
"Wow, in fairness, ang efficient na ng CASURECO sa Panicuason!",positive,1.45
May update na ba sa gamot sa Balatas?,neutral,0.2
"Tanong su lang, kamusta ang kalsada sa Peñafrancia?",neutral,0.8
Solid ang support ng LGU sa truck ng basura.,positive,1.61
"Hassle naman sa Panicuason, ang tambak ng baha.",negative,1.51
"Hassle naman sa San Francisco, ang palpak ng basura.",negative,1.49
"Salamat Mayor, su mabilis na ang basura sa Lerma.",positive,1.35
"Bulok na sistema sa truck ng basura, ang gulo sa Triangulo.",negative,1.49
HOY baha ANUNA?? Calauag NA NAMAN KAMI!!,negative,1.95
"Please lang, paki-ayos ang kuryente sa Bagumbayan Sur, sobrang palpak eh.",negative,1.8
Garooo iyo wara man kwenta ang gamot sa Peñafrancia.,negative,1.58
Ask ko garo lang if tuloy ang CASURECO sa San Francisco?,neutral,0.08
Good job LGU! solid ang Blue Boys sa Panicuason ngayon.,positive,1.45
Garo waraaa man kwenta ang CASURECOOO sa DiNaga.,negative,1.67
"Paki-cheeck nAman ang road repaiiirs sa Panicuasooon, walang kwenta naa masyado.",negative,1.92
"Wow, in garo fairness, ang efficient na ng basura sa Sabang!",positive,1.42
Okay maaan su service kaaang gamot sa CEntro.,positive,1.1
"Hassle naman sa Triangulo, ang mabagal ng CASURECO.",negative,1.5
"Marhay na marhay ang CASURECO sa Sabang, alerto baga.",positive,1.41
Ask ko laNg if tuloy ang kuuryeente sa Dayangdang?,neutral,0.16
Good job LGU! excelleeent ang basura sa Sabang ngayon.,positive,1.78
Garoo wara uni man kwenta ang tricycle sa Bagumbayan Sur.,negative,1.4
"Sobrang delikado ng City Hall sa Concepcion Pequeña, nakaka-stress!",negative,1.68
"Paki-check naman ang kalsada sa San Francisco, walang kwenta na masyado.",negative,1.95
"Wow, in fairness, ang excellent na ng road repairs sa Panicuason!",positive,1.5
"Marhay na marhay ang renewal sa Pacol, maganda baga.",positive,1.14
Garooo uni wara man kweenta ang trapik sa Concepcion Grandee.,negative,1.53
Su galing ng Trimobile team alerto agad sa San Francisco.,positive,1.39
Sain po pwede magpa-register para sa nawasa?,neutral,0.11
Solid ang support ng LGU sa City Hall.,positive,1.58
Solid ang baga support ng LGU sa drainage.,positive,1.59
"Anubayan, uuuni maaingay na naman aaang renewal sa Centro.",negative,0.92
Waiting baga for updates regarding lubak in Dayangdang.,neutral,0.16
"Wow, in fairness, ang very helpful na ng kanal sa San Francisco!",positive,1.64
"Tanong lang, su kamusta ang financial assistance sa Pacol?",neutral,0.8
HOY garo road repairs ANUNA?? Balatas NA NAMAN KAMI!!,negative,1.83
May Garo update na ba sa gamoot sA BagumbayaN Sur?,neutral,0.18
"Marhay na daw marhay ang tubig sa Lerma, malinis baga.",positive,1.31
"Anubayan, waaalaaang kwenta na Naman ang renewal sa Carolina.",negative,1.88
"Wow, iyo in fairness, ang alerto na ng tricycle sa Panicuason!",positive,1.7
"Marhay na marhay ang madilim na kalsada sa Concepcion Grande, solid baga.",positive,1.38
"Hassle naman sa Pacol, ang hassle ng road repairs.",negative,1.11
Solid iyo ang support ng LGU sa gamot.,positive,1.52
"Sobrang walang kwenta ng scholarship sa Sabang, nakaka-stress!",negative,1.81
Su galing ng CASURECO team alerto agad sa Bagumbayan Sur.,positive,1.52
Sain p pwede magpa-registeer para sa Mayor's Permit?,neutral,0.13
May update iyo na ba sa ilaw sa poste sa Carolina?,neutral,0.32
Su galing man ng brownout team alerto agad sa Sabang.,positive,1.63
HOY street lights ANUNA?? Concepcion Grande NA NAMAN KAMI!!,negative,1.89
"Please lang, paki-ayos ang traffic enforcers sa Concepcion Pequeña, sobrang magulo eh.",negative,1.0
"Bulok na man sistema sa garbage collection, ang gulo sa Concepcion Grande.",negative,1.59
"Wow, in fairness, ang organized na ng baha sa Dinaga!",positive,1.34
"Marhay na marhay ang checkup sa San Francisco, maganda Baga.",positive,1.15
Su uni galing ng kanal team alerto agad sa Concepcion Grande.,positive,1.64
"Bulok daw na sistema sa trapik, ang gulo sa Lerma.",negative,1.67
Solid man ang support ng LGU sa financial assistance.,positive,1.57
Sain po pwede magpa-register para sa kuryente?,neutral,0.14
"Please lang, paki-ayos ang kuryente sa Dinaga, sobrang delikado eh.",negative,1.7
"Wow, in fairness, ang organized na ng financial assistance sa Balatas!",positive,1.03
Solid ang man support ng LGU sa Health Center.,positive,1.53
"Napaka-friendly ng staff ng kanal sa Dinaga, kudos!",positive,0.86
"AAAnubayan, garo deliKado naaa naman ang road repairs sa Pacol.",negative,2.0
Good job LGU! mabilis ang financial assistance sa Mabolo ngayon.,positive,1.36
"Grabe, daw why is the Mayor's Permit sa Concepcion Grande super hassle?",negative,1.12
"Paki-check su naman ang gamot sa San Felipe, baha na masyaDo.",negative,1.5
"Hassle baga naman sa Peñafrancia, ang mabaho ng madilim na kalsada.",negative,1.44
"HasSle naman iyo sa Balatas, ang mabahooo ng brownout.",negative,1.36
Good job Baga LGU! maalinis ang MNWD sa Peñafraaanciaa ngayon.,positive,1.11
"Hassle naman sa Calauag, ang disappointing ng brownout.",negative,1.48
"Anubayan, mabaho naaa naman ang garbage collection sa Dayangdang.",negative,1.5
Ask ko lang if tuloy ang Blue Boys sa San Francisco?,neutral,0.39
"Salamat Mayor, malinis na ang ilaw sa poste sa Panicuason.",positive,1.1
"Napaka-mabilis ng staff ng water supply sa Sabang, kudos!",positive,1.37
Sain po pwede magpa-register para sa tricycle?,neutral,0.28
"Please uni lang, paki-ayos aaang road repairs sa Balatas, sobrang deelikado eh.",negative,1.55
"Hassle uni naman sa Concepcion Pequeña, ang palpak ng Trimobile.",negative,1.51
"Paki-check iyo naman ang kalsada sa San Francisco, maingay na masyado.",negative,0.98
"Wow, in fairness, ang alerto na ng drainage sa Panicuason!",positive,1.56
Garo wara man kwenta ang financial assistance sa Tinago.,negative,1.48
HOY MNWD ANUNA?? Dayangdang NA NAMAN KAMI!!,negative,1.87
"Paki-check iyo naman ang drainage sa Bagumbayan Sur, mabaho na masyado.",negative,1.72
"Napaka-veRy heelpful ng staff ng bakuna sa Pacol, Kudos!",positive,1.39
Good job LGU! friendly ang kalsada sa Balatas ngayon.,positive,1.01
"Bulok na sistema sa CASURECO, ang gulo sa Triangulo.",negative,1.51
"Please lang, su paki-ayos ang nawasa sa Tabuco, sobrang mabaho eh.",negative,1.27
Solid ang uni support ng LGU sa checkup.,positive,1.57
"Bulok daw na sistema sa garbage collection, ang gulo sa Tinago.",negative,1.72
"Marhay man na marhay ang kalsada sa Dayangdang, efficient baga.",positive,1.39
"Anubayan, palpak su na naman ang trapik sa Panicuason.",negative,1.47
"Marhay na marhay ang truck ng basura sa San Felipe, maganda baga.",positive,1.05
"Napaka-alerto ng staff ng road repairs sa Peñafrancia, kudos!",positive,1.35
"Salamat Mayor, efficient na ang tricycle sa Triangulo.",positive,1.52
"Bulok man na sistema sa CASURECO, ang gulo sa Carolina.",negative,1.93
"Salamat Mayor, mabilis na ang madilim na kalsada sa San Felipe.",positive,1.26
"Wow, in fairness, ang friendly na ng ilaw sa poste sa Mabolo!",positive,1.27
May update na ba sa lubak sa Panicuason?,neutral,0.24
HOY garo road repairs ANUNA?? San Francisco NA NAMAN KAMI!!,negative,1.91
Su galing ng MNWD team alerto agad sa Triangulo.,positive,1.79
"Marhay na marhay ang water supply sa San Felipe, alerto baga.",positive,1.68
Good job LGU! alerto ang traffic enforcers sa Sabang ngayon.,positive,1.68
Good job LGU! excellent ang tubig sa Centro ngayon.,positive,1.9
"Napaka-mabilis ng staff ng financial assistance sa Pacol, kudos!",positive,1.24
"Paki-check naman ang traffic enforcers sa Carolina, disappointing na masyado.",negative,1.11
"Sobrang disappointing uni ng City Hall sa Panicuason, nakaka-stress!",negative,1.39
"Napaka-aleeerto ng staff ng kuryente sa Balatas, kudos!",positive,1.62
Solid ang support ng LGU sa tricycle.,positive,1.66
"Napaka-solid ng staff ng kanal sa Sabang, kudos!",positive,1.68
"Sobrang man magulo ng baha sa Triangulo, nakaka-stress!",negative,0.98
Su galing ng Health Center team alerto agad sa Tabuco.,positive,1.46
Solid ang support ng LGU sa Health Center.,positive,1.66
Good man job LGU! alerto ang truck ng basura sa Balatas ngayon.,positive,1.62
"Please lang, uni paki-ayos ang madilim na kalsada sa Tabuco, sobrang mabaho eh.",negative,1.56
"Paki-check naman ang street lights sa Balatas, walang kwenta na masyado.",negative,1.82
HOY financial assistance ANUNA?? Concepcion Pequeña NA NAMAN KAMI!!,negative,1.96
"Wow, daw in fairness, ang maayos na ng drainage sa Mabolo!",positive,1.28
Waiting for updates regarding trapik in Calauag.,neutral,0.19
"Tanong lang, kamusta ang Blue Boys sa Bagumbayan Sur?",neutral,0.8
"Please lang, paki-ayos ang water supply sa Panicuason, sobrang baha eh.",negative,1.58
"Salamat Mayor, daw very helpful na ang kanal sa San Francisco.",positive,1.38
"Please lang, paki-ayos ang garbage collection sa Calauag, sobrang sira eh.",negative,1.77
Su galing ng trapik team alerto agad sa San Francisco.,positive,0.91
HOY garo MNWD ANUNA?? Concepcion Grande NA NAMAN KAMI!!,negative,1.95
HOY renewal uni ANUNA?? San Francisco NA NAMAN KAMI!!,negative,1.85
Su iyo galing ng Trimobile team alerto agad sa Tinago.,positive,1.36
Garo wara man kwenta ang water supply sa Panicuason.,negative,1.59
Solid ang uni support ng LGU sa renewal.,positive,1.73
"Wow, man in fairness, ang solid na ng Trimobile sa Concepcion Pequeña!",positive,1.32
"Anubayan, man tambak na naman aNg lubak sa Calauag.",negative,1.21
"Napaka-mabilis ng garo staff ng renewal sa Balatas, kudos!",positive,1.45
HOY trapik su ANUNA?? mabolo NA NAMAN KAMI!!,negative,1.83
"Grabe, baga why is the drainage sa Concepcion Grande super walang kwenta?",negative,2.0
"Grabe, why is the kalsada sa Carolina super disappointing?",negative,1.18
"Marhay na garo marhay ang kuryente sa Concepcion Pequeña, excellent baga.",positive,1.87
"Napaka-maayos ng staff ng baha sa Tinago, kudos!",positive,1.13
"Bulok nA sistema sa fiiinanciiial assistance, ang gulo sa Dinaga.",negative,1.38
"Bulok na sistema sa tubig, ang gulo sa Dinaga.",negative,1.39
"Salamat Mayor, alerto na ang gamot sa Triangulo.",positive,1.43
"Napaka-solid ng staff ng gamot sa Concepcion Grande, kudos!",positive,1.49
OkaY garo man su service kang garbage collection sa Peñafrancia.,positive,1.1
"Tanong lang, man kamusta ang kuryente sa Dinaga?",neutral,0.8
"Wow, in fairness, ang mabilis na ng tricycle sa Calauag!",positive,1.58
"Sobrang daw mabagal ng trapik sa Sabang, nakaka-stress!",negative,1.31
Sain iyo po pwede magpa-registeer para sa garbage collection?,neutral,0.09
Sain daw po pwede magpa-register para sa gamot?,neutral,0.27
Su galing daw ng gamot team alerto agad sa Lerma.,positive,1.1
"Salamat Mayor, daw organiiZed na ang luBak sa Carolina.",positive,0.96
"Sobrang baha ng City Hall sa Peñafrancia, nakaka-stress!",negative,1.77
"Hassle naman sa Panicuason, ang maingay ng kuryente.",negative,0.7
HOY road repairs ANUNA?? PaaanicuasoN NA NAMAN KAMI!!,negative,1.87
"Paki-check su naman ang financial assistance sa Tinago, delikado na masyado.",negative,1.93
"Anubayan, mabaho baga na naman ang madilim na kalsada sa Mabolo.",negative,1.44
Good job LGU! mabilis ang drainage sa Tinago ngayon.,positive,1.39
Garo baga wara man kwenta ang financial assistance sa Centro.,negative,1.38
Okay uni man su service kang madilim na kalsada sa San Felipe.,positive,1.1
Good job LGU! maaayos ang lubak sa Centrooo ngayon.,positive,1.15
"Paki-check baga naman ang tubig sa Lerma, hassle na masyado.",negative,1.26
Solid ang support ng LGU sa City Hall.,positive,1.7
"Grabe, su why is the scholarship sa Bagumbayan Sur super baha?",negative,1.68
Gaaro wara man kwenta ang tuuubig sa Triangulo.,negative,1.47
HOY road man repairs ANUNA?? Pacol NA NAMAN KAMI!!,negative,1.95
"Grabe, why is the MNWD sa Panicuason super walang kwenta?",negative,1.96
"Anubayan, disappointing na naman ang Blue Boys sa Dayangdang.",negative,0.98
"Napaka-organized ng staff ng CASURECO sa Carolina, kudos!",positive,1.07
Ask ko lang if tuloy ang road repairs sa Pacol?,neutral,0.17
"Marhay na marhay ang bakuna sa San Felipe, solid baga.",positive,1.29
