text,category
Reporting a concern regarding public toilet walang tubig at madumi at Panganiban Drive.,sanitation
"Sir/Ma'am, pa-check naman po ng Naga City People's Mall, akyat bahay incident report po kasi.",public_safety
Urgent: vandalism s pader ng school d2 s Balatas.,public_safety
"ask ko lang po kung may action na, naghahanap ng trabaho kasi dito sa cararayan.",employment
To the City Government: road rage incident report here in Concepcion Pequeña. Please investigate.,traffic
"GRABE NAMAN, DUMI NG ASO SA SIDEWALK DITO SA CALAUAG! ANO NA??",sanitation
Good day. We are requesting assistance because curfew violation ng mga minor at LCC Mall.,public_safety
Formal complaint: contractualization issue located in UNC gate.,employment
magtatanong lang po regarding inom sa kalsada hanggang madaling araw sa abella?,public_safety
Help. penalty for littering inquiry s Calauag. Pls fix.,waste_management
Kailan po kaya maayos ang Mabolo? jeepney cutting trip violation po kasi.,traffic
Urgent: may magnanakaw na umaaligid d2 s Naga City People's Mall.,public_safety
Gud pm. suspicious drug related activity s Lerma. Tnx.,public_safety
I would like to report that paano kumuha ng pwd id in Bagumbayan.,social_services
Formal complaint: kalat ang basura sa park located in Centro.,waste_management
Formal complaint: pagtapon ng basura sa ilog located in Balatas.,waste_management
Please be informed that walang benefits na binibigay in the vicinity of Ecology Park.,employment
Anyone from city hall? fluctuating ang kuryente here in Carolina. So hassle.,utilities
"Parang wala namang action. daming lamok, need fumigation pa rin sa Plaza Quince.",health
Good day. We are requesting assistance because nagkalat na used face masks at Dayangdang.,sanitation
Fyi sira ng bubong ng waiting shed s Igualdad.,infrastructure
Kailan po kaya maayos ang Liboton? unpaid overtime pay po kasi.,employment
Parang wala namang action. status of scholarship application pa rin sa Centro.,social_services
"Sir/Ma'am, pa-check naman po ng Naga City People's Mall, may putol na kable sa daan po kasi.",utilities
Please be informed that lost id replacement process in the vicinity of Tinago.,social_services
Concern lng re: traffic enforcer nngongotong s Jesse Robredo Coliseum.,traffic
Help. grabe ng traffic ngayon s Tabuco. Pls fix.,traffic
Urgent: slippery pathway due to moss d2 s Calauag.,infrastructure
To the City Government: stray dogs chasing people here in Mabolo. Please investigate.,health
"Ask ko lang po kung may action na, walang doctor sa health center kasi dito sa Carolina.",health
Parang wala namang action. snatching incident sa kanto pa rin sa Concepcion Grande.,public_safety
"Ask ko lang po kung may action na, fluctuating ang kuryente kasi dito sa Plaza Rizal.",utilities
To the City Government: snatching incident sa kanto here in San Francisco. Please investigate.,public_safety
Urgent: traffic enforcer nngongotong d2 s Bagumbayan.,traffic
Concern lng re: defective solar lights s Dayngdng.,infrastructure
"Grabe naman, requesting police visibility dito sa Bagumbayan! Ano na??",public_safety
Formal complaint: maraming bata ang nilalagnat located in Metropolitan Cathedral.,health
Kailan po kaya maayos ang Mabolo? wala pa kaming natatanggap na ayuda po kasi.,social_services
Pwede ba mag-reklamo? ang lalim ng lubak sa daan kasi sa Sabang. Thanks.,infrastructure
Pwede ba mag-reklamo? mabaho ang poultry sa residential area kasi sa Triangulo. Thanks.,sanitation
Report ko lng tanod sleeping on duty d2 s Plaza Quince.,public_safety
Reporting a concern regarding double parking sa main road at Bagumbayan.,traffic
I would like to report that tanod sleeping on duty in Panicuason.,public_safety
To the City Government: may magnanakaw na umaaligid here in Bagumbayan. Please investigate.,public_safety
To the City Government: inquiry for DOLE TUPAD program here in Naga City People's Mall. Please investigate.,employment
"Concerned lang po kami sa mga bata, flu outbreak sa area namin dito sa Plaza Quince.",health
Huy pansinin niyo naman to. ang lalim ng lubak sa daan sa Plaza Quince. Nakaka-stress!,infrastructure
formal complaint: walang garbage collector personnel located in santa cruz.,waste_management
"Concerned lang po kami sa mga bata, puno na ang septic tank dito sa Pacol.",sanitation
I would like to report that medical certificate request for indigent in Sabang.,health
Help. gng war threat s Tringulo. Pls fix.,public_safety
MAGTATANONG LANG PO REGARDING FEEDING PROGRAM REQUEST FOR KIDS SA BICOL CENTRAL STATION?,social_services
"kami po ay taga igualdad, report ko lang na clogged drainage causing smell.",sanitation
Fyi financial aid for poor students s Magsysy Avenue.,social_services
"Shoutout sa LGU, shocking electricity bill amount sa Santa Cruz. Please actionan agad.",utilities
Good day. We are requesting assistance because requesting ambulance assistance at Cararayan.,health
Magtatanong lang po regarding calamity loan inquiry sa Plaza Rizal?,social_services
I would like to report that vandalism sa pader ng school in Diversion Road.,public_safety
"Grabe naman, brownout nanaman dito dito sa Panganiban Drive! Ano na??",utilities
Please be informed that dumi ng aso sa sidewalk in the vicinity of Plaza Rizal.,sanitation
To the City Government: flu outbreak sa area namin here in LCC Mall. Please investigate.,health
"Ask ko lang po kung may action na, illegal parking sa kalsada kasi dito sa Balatas.",traffic
I would like to report that delayed ang sweldo ng workers in SM Naga area.,employment
Gud pm. walng doctor s health center s Jesse Robredo Coliseum. Tnx.,health
Good day. We are requesting assistance because feeding program request for kids at Jesse Robredo Coliseum.,social_services
"shoutout sa lgu, unpaid overtime pay sa naga city people's mall. please actionan agad.",employment
Kailan po kaya maayos ang San Felipe? mabaho ang poultry sa residential area po kasi.,sanitation
Formal complaint: openings for construction workers located in Carolina.,employment
"Kami po ay taga Jesse Robredo Coliseum, report ko lang na nagkalat na used face masks.",sanitation
"Sir/Ma'am, pa-check naman po ng Centro, inquiry for DOLE TUPAD program po kasi.",employment
Gud pm. road widening project delay s Metropolitan Cathedral. Tnx.,infrastructure
Pwede ba mag-reklamo? double parking sa main road kasi sa LCC Mall. Thanks.,traffic
"jusko, counter-flow na tricycle nanaman sa magsaysay avenue. ilang araw na to.",traffic
Huy pansinin niyo naman to. tambak na basura sa kalsada sa Del Rosario. Nakaka-stress!,sanitation
Urgent: may putol na kable s daan d2 s UNC gate.,utilities
Parang wala namang action. composting facility foul odor pa rin sa Igualdad.,waste_management
Magtatanong lang po regarding estero needs cleaning sa Plaza Rizal?,sanitation
Formal complaint: openings for construction workers located in UNC gate.,employment
Concern lng re: low water pressure tuwing umaga s Dinaga.,utilities
"Urgent: sira ng tulay, delikado d2 s Tinago.",infrastructure
Magtatanong lang po regarding cctv camera not working sa Tinago?,infrastructure
Pwede ba mag-reklamo? dumi ng aso sa sidewalk kasi sa Lerma. Thanks.,sanitation
To the City Government: senior citizen pension delay here in Peñafrancia. Please investigate.,social_services
"Kami po ay taga Triangulo, report ko lang na sumabog ang transformer.",utilities
Reporting a concern regarding kulang ang binigay na relief goods at Plaza Rizal.,social_services
Urgent: lost id replacement process d2 s Cararayan.,social_services
Reporting a concern regarding nagkalat na used face masks at Igualdad.,sanitation
Concern lng re: unpaid overtime pay s Carolina.,employment
please be informed that livelihood program for mothers in the vicinity of igualdad.,employment
"Sir/Ma'am, pa-check naman po ng Panicuason, kailan ang next job fair po kasi.",employment
Urgent: colorum vehicles operating d2 s Ateneo Avenue.,traffic
Kailan po kaya maayos ang Abella? financial aid for poor students po kasi.,social_services
"Kami po ay taga San Isidro, report ko lang na illegal parking sa kalsada.",traffic
Urgent: slippery pathway due to moss d2 s Balatas.,infrastructure
Formal complaint: kailan ang schedule ng hakot located in Balatas.,waste_management
FORMAL COMPLAINT: PUNO NA ANG SEPTIC TANK LOCATED IN ECOLOGY PARK.,sanitation
Formal complaint: riot ng mga kabataan kagabi located in UNC gate.,public_safety
"grabe naman, illegal dumping site sa vacant lot dito sa plaza rizal! ano na??",waste_management
"Shoutout sa LGU, defective solar lights sa Ateneo Avenue. Please actionan agad.",infrastructure
Formal complaint: tesda training schedule inquiry located in San Felipe.,employment
Huy pansinin niyo naman to. need namin ng schedule for anti-rabies sa Mabolo. Nakaka-stress!,health
please be informed that illegal jumper connection report in the vicinity of liboton.,utilities
Report ko lng may putol na kable s daan d2 s San Francisco.,utilities
"Shoutout sa LGU, unannounced water interruption sa Bicol Central Station. Please actionan agad.",utilities
Help. counter-flow na tricycle s Pnganiban Drive. Pls fix.,traffic
"Jusko, looking for summer job for students nanaman sa San Felipe. Ilang araw na to.",employment
To the City Government: basura bumabara sa drainage here in Pacol. Please investigate.,waste_management
CONCERN LNG RE: CURFEW VIOLATION NG MGA MINOR S METROPOLITAN CATHEDRAL.,public_safety
Anyone from city hall? brownout nanaman dito here in San Francisco. So hassle.,utilities
I would like to report that water pipe leak sa kalsada in Ecology Park.,utilities
"Jusko, high blood pressure monitoring request nanaman sa San Isidro. Ilang araw na to.",health
"Help. busted ng street lights, madilim s Calauag. Pls fix.",infrastructure
"Concerned lang po kami sa mga bata, inom sa kalsada hanggang madaling araw dito sa Igualdad.",public_safety
Pwede ba mag-reklamo? snatching incident sa kanto kasi sa Peñafrancia. Thanks.,public_safety
Pwede ba mag-reklamo? dirty water supply form faucet kasi sa Concepcion Grande. Thanks.,utilities
Magtatanong lang po regarding cash for work payout delay sa Jesse Robredo Coliseum?,employment
concern lng re: colorum vehicles operating s naga city people's mall.,traffic
"Ask ko lang po kung may action na, nawalan ng internet connection kasi dito sa Panganiban Drive.",utilities
Please be informed that dirty water supply form faucet in the vicinity of Balatas.,utilities
Please be informed that stray dogs chasing people in the vicinity of Magsaysay Avenue.,health
Magtatanong lang po regarding estero needs cleaning sa Concepcion Pequeña?,sanitation
"Sir/Ma'am, pa-check naman po ng Mabolo, mabaho ang poultry sa residential area po kasi.",sanitation
"Concerned lang po kami sa mga bata, road obstruction by vendors dito sa UNC gate.",traffic
Concern lng re: looking for summer job for students s Carolina.,employment
Update po s sparking wires s poste s San Francisco? Wala pa action.,utilities
"JUSKO, NAWALAN NG INTERNET CONNECTION NANAMAN SA CAROLINA. ILANG ARAW NA TO.",utilities
"Huy pansinin niyo naman to. sira ang tulay, delikado sa Calauag. Nakaka-stress!",infrastructure
Reporting a concern regarding tricycle overcharging fare at Plaza Rizal.,traffic
I would like to report that sumabog ang transformer in LCC Mall.,utilities
Kailan po kaya maayos ang Ecology Park? tumataas ang cases ng dengue po kasi.,health
"Jusko, illegal jumper connection report nanaman sa Plaza Rizal. Ilang araw na to.",utilities
Anyone from city hall? slippery pathway due to moss here in Balatas. So hassle.,infrastructure
Please be informed that di hinahakot ang nabubulok in the vicinity of Mabolo.,waste_management
pwede ba mag-reklamo? looking for summer job for students kasi sa bicol central station. thanks.,employment
Kailan po kaya maayos ang LCC Mall? walang segregation policy po kasi.,waste_management
"Jusko, sira ang bubong ng waiting shed nanaman sa Pacol. Ilang araw na to.",infrastructure
Please be informed that water pipe leak sa kalsada in the vicinity of Del Rosario.,utilities
Please be informed that ubos na ang gamot sa center in the vicinity of Tinago.,health
Urgent: brownout nanaman d2 d2 s Ateneo Avenue.,utilities
Help. flu outbreak s area namin s Concepcion Pequeña. Pls fix.,health
Reporting a concern regarding ang lalim ng lubak sa daan at Balatas.,infrastructure
Help. may patay na daga s daan s Naga City People's Mall. Pls fix.,sanitation
Magtatanong lang po regarding traffic enforcer nangongotong sa Magsaysay Avenue?,traffic
I would like to report that inquiry for DOLE TUPAD program in Abella.,employment
Urgent: walng segregation policy d2 s Plaza Rizal.,waste_management
Urgent: burial assistance request d2 s Centro.,social_services
Gud pm. nagsusunog ng plastic ng kapitbahay s Sabng. Tnx.,waste_management
ANYONE FROM CITY HALL? MARAMING BATA ANG NILALAGNAT HERE IN TINAGO. SO HASSLE.,health
UPDATE PO S REQUESTING AMBULANCE ASSISTANCE S IGUALDAD? WALA PA ACTION.,health
FYI FADED PEDESTRIAN LANE MARKINGS S PLAZA RIZAL.,traffic
"Sir/Ma'am, pa-check naman po ng Bicol Central Station, 4ps beneficiary inquiry po kasi.",social_services
Huy pansinin niyo naman to. bitak-bitak na ang pader sa UNC gate. Nakaka-stress!,infrastructure
Formal complaint: clogged drainage causing smell located in Plaza Quince.,sanitation
Pwede ba mag-reklamo? road widening project delay kasi sa Naga City People's Mall. Thanks.,infrastructure
I would like to report that falling debris from construction in Liboton.,infrastructure
FYI KAILAN NG SCHEDULE NG HAKOT S SM NAGA AREA.,waste_management
"Sir/Ma'am, pa-check naman po ng Concepcion Grande, nakatagilid na ang poste po kasi.",infrastructure
Fyi may putol na kable s daan s Liboton.,utilities
"Kami po ay taga Carolina, report ko lang na feeding program request for kids.",social_services
Gud pm. sobrng baho ng kanal s Bicol Central Station. Tnx.,sanitation
"Kami po ay taga Mabolo, report ko lang na truck ban inquiry time.",traffic
"Sir/Ma'am, pa-check naman po ng Cararayan, walang sidewalk na madaanan po kasi.",infrastructure
Gud pm. dumi ng aso s sidewalk s San Felipe. Tnx.,sanitation
Help. gng war threat s Magsysy Avenue. Pls fix.,public_safety
"Grabe naman, meter reading error complaint dito sa Cararayan! Ano na??",utilities
"sir/ma'am, pa-check naman po ng ateneo avenue, traffic rerouting confusion po kasi.",traffic
"Jusko, walang tubig simula kanina nanaman sa UNC gate. Ilang araw na to.",utilities
Fyi no entry violation reports s Abella.,traffic
Formal complaint: stray dogs chasing people located in LCC Mall.,health
"Grabe naman, basurahan sa plaza puno na dito sa Plaza Quince! Ano na??",waste_management
"Kami po ay taga Tabuco, report ko lang na tesda training schedule inquiry.",employment
Huy pansinin niyo naman to. tanod sleeping on duty sa Santa Cruz. Nakaka-stress!,public_safety
"Sir/Ma'am, pa-check naman po ng UNC gate, pagtapon ng basura sa ilog po kasi.",waste_management
"sir/ma'am, pa-check naman po ng naga city people's mall, pest control request for barangay hall po kasi.",sanitation
Help. diarrhea outbreak due to dirty water s Ateneo Avenue. Pls fix.,health
reporting a concern regarding kalat ang basura sa park at carolina.,waste_management
"Jusko, tambak na basura sa kalsada nanaman sa Del Rosario. Ilang araw na to.",sanitation
TO THE CITY GOVERNMENT: WALANG SEGREGATION POLICY HERE IN PLAZA QUINCE. PLEASE INVESTIGATE.,waste_management
Parang wala namang action. may magnanakaw na umaaligid pa rin sa UNC gate.,public_safety
Update po s falling debris from construction s Abella? Wala pa action.,infrastructure
Magtatanong lang po regarding mabaho ang poultry sa residential area sa Metropolitan Cathedral?,sanitation
Pwede ba mag-reklamo? stray dogs chasing people kasi sa Magsaysay Avenue. Thanks.,health
Gud pm. loading/unloading violation s Tinago. Tnx.,traffic
Please be informed that contractualization issue in the vicinity of Dayangdang.,employment
"Kami po ay taga Magsaysay Avenue, report ko lang na drag racing ng motor sa gabi.",public_safety
Pwede ba mag-reklamo? may magnanakaw na umaaligid kasi sa Carolina. Thanks.,public_safety
Report ko lng inom s kalsda hnggng madaling araw d2 s Tringulo.,public_safety
Magtatanong lang po regarding need oxygen tank assistance sa San Felipe?,health
Pwede ba mag-reklamo? public toilet walang tubig at madumi kasi sa Plaza Rizal. Thanks.,sanitation
anyone from city hall? walang tubig simula kanina here in dinaga. so hassle.,utilities
"Kami po ay taga Centro, report ko lang na bitak-bitak na ang pader.",infrastructure
"Concerned lang po kami sa mga bata, gang war threat dito sa SM Naga area.",public_safety
To the City Government: puno na ang septic tank here in Tabuco. Please investigate.,sanitation
Gud pm. kailan ng schedule ng hakot s Concepcion Grande. Tnx.,waste_management
"Shoutout sa LGU, sobrang ingay ng videoke sa Igualdad. Please actionan agad.",public_safety
Parang wala namang action. paano kumuha ng pwd id pa rin sa Panganiban Drive.,social_services
Gud pm. unpaid overtime pay s Mabolo. Tnx.,employment
I would like to report that need oxygen tank assistance in Pacol.,health
"Grabe naman, penalty for littering inquiry dito sa San Felipe! Ano na??",waste_management
Anyone from city hall? defective solar lights here in Lerma. So hassle.,infrastructure
Urgent: medical assistance for indigent d2 s Pacol.,social_services
Kailan po kaya maayos ang Triangulo? snatching incident sa kanto po kasi.,public_safety
Reporting a concern regarding estero needs cleaning at Igualdad.,sanitation
Good day. We are requesting assistance because no entry violation reports at Abella.,traffic
Update po s mabaho ng poultry s residential area s Pnganiban Drive? Wala pa action.,sanitation
ANYONE FROM CITY HALL? MABAHO ANG POULTRY SA RESIDENTIAL AREA HERE IN NAGA CITY PEOPLE'S MALL. SO HASSLE.,sanitation
Anyone from city hall? discrimination sa hiring process here in Peñafrancia. So hassle.,employment
I would like to report that need oxygen tank assistance in Tabuco.,health
Parang wala namang action. road obstruction by vendors pa rin sa Abella.,traffic
"Shoutout sa LGU, defective solar lights sa Calauag. Please actionan agad.",infrastructure
"Grabe naman, ubos na ang gamot sa center dito sa Calauag! Ano na??",health
"Jusko, drainage cover is missing nanaman sa Metropolitan Cathedral. Ilang araw na to.",infrastructure
"Shoutout sa LGU, sobrang baho ng kanal sa LCC Mall. Please actionan agad.",sanitation
"Concerned lang po kami sa mga bata, estero needs cleaning dito sa San Felipe.",sanitation
"ask ko lang po kung may action na, masungit ang nurse sa clinic kasi dito sa san francisco.",health
I would like to report that medical certificate request for indigent in Jesse Robredo Coliseum.,health
Please be informed that sobrang ingay ng videoke in the vicinity of Santa Cruz.,public_safety
I WOULD LIKE TO REPORT THAT NO ENTRY VIOLATION REPORTS IN CENTRO.,traffic
Pwede ba mag-reklamo? nakatagilid na ang poste kasi sa Bagumbayan. Thanks.,infrastructure
Formal complaint: walang doctor sa health center located in Bagumbayan.,health
parang wala namang action. nagsusunog ng plastic ang kapitbahay pa rin sa liboton.,waste_management
Report ko lng basura nakatambak s harap ng school d2 s Plaza Rizal.,sanitation
Magtatanong lang po regarding calamity loan inquiry sa Centro?,social_services
Gud pm. nakatagilid na ng poste s Balatas. Tnx.,infrastructure
Kailan po kaya maayos ang Diversion Road? slippery pathway due to moss po kasi.,infrastructure
"SIR/MA'AM, PA-CHECK NAMAN PO NG SAN ISIDRO, PUNO NA ANG SEPTIC TANK PO KASI.",sanitation
Update po s requesting police visibility s San Isidro? Wala pa action.,public_safety
good day. we are requesting assistance because lost id replacement process at peñafrancia.,social_services
Kailan po kaya maayos ang Magsaysay Avenue? unpaid overtime pay po kasi.,employment
Concern lng re: recycling inquiry s Tabuco.,waste_management
"Sir/Ma'am, pa-check naman po ng San Francisco, walang doctor sa health center po kasi.",health
Good day. We are requesting assistance because kulang ang binigay na relief goods at Dinaga.,social_services
Kailan po kaya maayos ang San Isidro? shocking electricity bill amount po kasi.,utilities
"Sir/Ma'am, pa-check naman po ng Carolina, counter-flow na tricycle po kasi.",traffic
I would like to report that walang tubig simula kanina in Mabolo.,utilities
"Shoutout sa LGU, nagkalat na used face masks sa Santa Cruz. Please actionan agad.",sanitation
Gud pm. ng lalim ng lubak s daan s Del Rosrio. Tnx.,infrastructure
Good day. We are requesting assistance because cash for work payout delay at Centro.,employment
To the City Government: sira ang traffic light here in Metropolitan Cathedral. Please investigate.,traffic
PLEASE BE INFORMED THAT WALANG BENEFITS NA BINIBIGAY IN THE VICINITY OF BICOL CENTRAL STATION.,employment
I would like to report that unfair labor practice sa trabaho in Centro.,employment
"Jusko, cash for work payout delay nanaman sa SM Naga area. Ilang araw na to.",employment
Reporting a concern regarding bitak-bitak na ang pader at Panganiban Drive.,infrastructure
To the City Government: naghahanap ng trabaho here in Del Rosario. Please investigate.,employment
Gud pm. requesting ambulance assistance s Jesse Robredo Coliseum. Tnx.,health
"Kami po ay taga Sabang, report ko lang na no entry violation reports.",traffic
Reporting a concern regarding traffic rerouting confusion at Dayangdang.,traffic
Please be informed that low water pressure tuwing umaga in the vicinity of Plaza Quince.,utilities
"Jusko, calamity loan inquiry nanaman sa Mabolo. Ilang araw na to.",social_services
Fyi mabaho ng poultry s residential area s Magsysy Avenue.,sanitation
"Ask ko lang po kung may action na, no entry violation reports kasi dito sa Tinago.",traffic
"CONCERNED LANG PO KAMI SA MGA BATA, SOBRANG HINA NG SIGNAL DITO SA DIVERSION ROAD.",utilities
"Ask ko lang po kung may action na, faded pedestrian lane markings kasi dito sa Centro.",traffic
"Concerned lang po kami sa mga bata, ang lalim ng lubak sa daan dito sa SM Naga area.",infrastructure
"Shoutout sa LGU, tricycle overcharging fare sa Diversion Road. Please actionan agad.",traffic
Please be informed that tanod sleeping on duty in the vicinity of Magsaysay Avenue.,public_safety
Report ko lng walng benefits na binibigay d2 s Tinago.,employment
"Ask ko lang po kung may action na, traffic enforcer nangongotong kasi dito sa Liboton.",traffic
"Huy pansinin niyo naman to. daming lamok, need fumigation sa Lerma. Nakaka-stress!",health
"Sir/Ma'am, pa-check naman po ng Diversion Road, walang segregation policy po kasi.",waste_management
To the City Government: slippery pathway due to moss here in Igualdad. Please investigate.,infrastructure
Formal complaint: kailan ang schedule ng hakot located in Dinaga.,waste_management
Formal complaint: clogged drainage causing smell located in Bagumbayan.,sanitation
Magtatanong lang po regarding nagsusunog ng plastic ang kapitbahay sa Panganiban Drive?,waste_management
"Ask ko lang po kung may action na, road obstruction by vendors kasi dito sa Ateneo Avenue.",traffic
Report ko lng sumabog ng transformer d2 s Concepcion Grande.,utilities
Please be informed that illegal dumping site sa vacant lot in the vicinity of Panicuason.,waste_management
"Kami po ay taga Cararayan, report ko lang na unannounced water interruption.",utilities
"Grabe naman, stray dogs chasing people dito sa Dayangdang! Ano na??",health
"Concerned lang po kami sa mga bata, busted ang street lights, madilim dito sa Pacol.",infrastructure
Parang wala namang action. nawalan ng internet connection pa rin sa Diversion Road.,utilities
"Concerned lang po kami sa mga bata, calamity loan inquiry dito sa Jesse Robredo Coliseum.",social_services
Parang wala namang action. hiring ba ng security guard pa rin sa Igualdad.,employment
FORMAL COMPLAINT: WALANG AVAILABLE NA COVID VACCINE LOCATED IN PLAZA RIZAL.,health
"Concerned lang po kami sa mga bata, curfew violation ng mga minor dito sa Dayangdang.",public_safety
"Shoutout sa LGU, discrimination sa hiring process sa Mabolo. Please actionan agad.",employment
"Jusko, medical assistance for indigent nanaman sa Plaza Quince. Ilang araw na to.",social_services
"Jusko, illegal dumping site sa vacant lot nanaman sa SM Naga area. Ilang araw na to.",waste_management
Urgent: basketball court needs renovation d2 s Ecology Park.,infrastructure
Urgent: slippery pathway due to moss d2 s Sabng.,infrastructure
Magtatanong lang po regarding marumi ang tubig na lumalabas sa gripo sa Cararayan?,sanitation
Formal complaint: hiring ba ng security guard located in Panicuason.,employment
"Jusko, maraming bata ang nilalagnat nanaman sa Igualdad. Ilang araw na to.",health
Good day. We are requesting assistance because ipis infestation sa public market at Pacol.,sanitation
Help. may magnanakaw na umaaligid s Concepcion Pequeña. Pls fix.,public_safety
To the City Government: street light flickering on and off here in Bicol Central Station. Please investigate.,utilities
Huy pansinin niyo naman to. 4ps beneficiary inquiry sa San Francisco. Nakaka-stress!,social_services
I would like to report that vandalism sa pader ng school in Peñafrancia.,public_safety
Report ko lng bato-bato s sskyan incidents d2 s San Isidro.,public_safety
Magtatanong lang po regarding sumabog ang transformer sa Pacol?,utilities
I would like to report that clogged drainage causing smell in Dayangdang.,sanitation
"Jusko, vawc desk assistance needed nanaman sa Triangulo. Ilang araw na to.",social_services
Urgent: masungit ng nurse s clinic d2 s Plaza Rizal.,health
"Concerned lang po kami sa mga bata, social pension payout schedule dito sa Lerma.",social_services
